book_name,stemmed
The Undoing Project,23 talk about the life and extens research in the psycholog of kahneman and tverski by bring forth some of the most influenti and groundbreak discoveri they unveil about human behavior and the bias in our decis scienc
The Dawn of Everything,24 tell the stori of how we went from huntergather to citybuild from the stone age to today modern world all by explor a seri of new discoveri made by scientist who are challeng some longheld belief about our histori scienc
One Decision,25 explain how flaw decis occur and how you can avoid them by analyz data at first ask for factcheck opinion elimin your bias and prejudic and mani more use practic deriv from psycholog research scienc
Napoleon’s Buttons,26 explor the scientif phenomenon of molecul by highlight how we can trace the origin of our entir exist to someth as tini as atom and make sens of variou event in histori that shape our world scienc
The Sovereign Individual,27 jump into the futur and present a new world where life move into the onlin environ where the cybereconomi rule and govern are struggl to control the peopl like they use to all through a revolut more power than anyth weve seen befor scienc
Keto Answers,28 is your goto guid on how to get start with the ketogen diet it posit implic on your health and prone to diseas like diabet and a factbas studi that debunk myth and assumpt about follow a lowcarb diet scienc
Joyful,29 talk about the power of small thing in our live from color shape and design to natur architectur and simpl everyday occurr on our happi and how we can har simplic to achiev a meaning life fill with joy scienc
Invisible Women,30 talk about the flaw in our societ system which wa built on the premis that men should rule and conquer the world while women should stay at home which is whi were still see gender gap in the person profession and daytoday live of women scienc
The Worldly Philosophers,31 is your handson guid to econom how the world work overal but especi from a financi point of view what are the social and econom system that exist throughout histori and how certain peopl concept got to shape the world we know today scienc
Brain Maker,32 argu that the relationship between your gut and your mind is stronger than you know and prove how the microbiom is respons for your overal health in the long run scienc
Tesla: Man Out of Time,33 present the biographi and remark life of nikola tesla one of the most notabl inventor and engin of all time while also highlight hi bumpi relationship with thoma edison and hi heavi childhood scienc
The God Equation,34 present a factual approach to the theori of life the incept of the univers and how modern physic lay the foundat of all natur law that govern the galaxi the planet and our home call earth scienc
Astrophysics for People in a Hurry,35 talk about the law of natur physic astronomi and the mysteri incept of our cosmo the univers star and implicitli our beauti planet where life thrive and perpetu scienc
Lifespan,36 address the concept of age and defi the law of natur that humankind knew till now by present a cure to age that deriv from exetens research in biolog diet and nutrit sport and the scienc of combat diseas scienc
The Inner Life of Animals,37 present complex research on anim and the life of our ecosystem which is not so differ than our given that they can feel pain experi emot and share other similar with us human scienc
Chaos,38 is a scientif piec of write that present the principl behind the chao theori which wa popular in the late 20th centuri and repres a monument step forward in the area of scientif knowledg and the univers evolut overal scienc
Unlimited Memory,39 explor the most effect way to retain inform and improv memori skill by teach it reader some key aspect about the brain and explain advanc learn strategi in an easytofollow manner scienc
Wintering,40 highlight the similar between the cold season of the year and the period of hardship in a human life by emphas how everyth eventu pass in time and how we can learn to embrac challeng time by learn from wolv from the cold and how our ancestor dealt with the winter scienc
The Shallows,41 explor the effect of the internet on the human brain which arent entir posit as our constant exposur to the onlin environ through digit devic strip our abil to target our focu and stay concentr all while modifi our brain neurolog and anatom scienc
Rationality,42 explor the concept of ration as the pylon of all human progress and how it set us apart from all other speci help us evolv and develop societ layer rule of conduct and moral ground for all our endeavor in life scienc
The High 5 Habit,43 is a selfimprov book that aim to help anyon who deal with selflimit take charg of their life by establish a morn routin ditch neg talk and transform their life through posit and confid scienc
Why Zebras Don’t Get Ulcers,44 explor the lead caus of stress and how to keep it under control as well as the biolog scienc behind stress which can be a catalyst for perform in the short term but a potenti threat in the long run scienc
What Is Life?,45 compress a seri of lectur given by the notori physicist erwin schrdinger and is a compel research on how scienc especi biolog chemistri and physic account for the ongo process that the human bodi undertak to simpli exist and live scienc
The Self-Discipline Blueprint,46 delv into the subject of selfactu and whi it is crucial for human to achiev a fulfil and success life by creat a routin and becom focus selfdisciplin and hardwork scienc
Stealing Fire,47 examin how a state of ecstasi can enhanc the bodybrain connect and allow human to achiev excel perform by acceler their neural process scienc
Brain Food,48 delv into the topic of nutrit and how certain food and nutrient can affect the wellb of the brain it memori function it cognit capabl and how what we ingest can revers the brain inclin to develop certain diseas scienc
The Secret World of Weather,49 is a guid to forecast weather through variou clue found in natur such as plant the wind or cloud to come up with an accur calcul of the weather without have to check the news scienc
Long Life Learning,50 question the current educ system worldwid in relat to an increas trend in job autom grow life expect and a devalu in higher degre all with a strong focu on the futur of work and urgenc to adapt to it scienc
The Genius of Dogs,51 explor the curiou mind of man best friend in relat to human intellig as dog and human are connect and have mani similar that make the relationship between them so strong and uniqu scienc
Forest Bathing,52 explor the japanes tradit of shinrinyoku a kind of forest therapi base on immers in natur and the variou health and wellb benefit we can deriv from it to live better calmer live scienc
"Eat Better, Feel Better",53 is a goto guid for combat modern dietari problem and adopt a healthier lifestyl scienc
How To Change,54 identifi the stumbl block that are in your way of reach your goal and improv yourself and the researchback way to get over them includ how to beat some of the worst product and life problem like procrastin lazi and much more scienc
The Data Detective,55 will make you smarter by show how you can understand statist well enough to see how they and the belief and cognit bias they can make you have make such a huge impact in your life for better or for wors and how to separ fact from fiction scienc
What Happened to You?,56 is oprah look into trauma includ how traumat experi affect our brain throughout our live what they mean about the way we handl stress and whi we need to see it as both a problem with our societi and our brain if we want to get through it scienc
The Great Escape,57 challeng the idea that the world is on fire by declar that thing have never been better in mani way although the advanc weve made and the way they have improv mani live havent reach everyon equal scienc
Ten Arguments For Deleting Your Social Media Accounts Right Now,58 show whi you should quit social media becaus it stop joy make you a jerk erod truth kill empathi take free will keep the world insan destroy authent block econom digniti make polit a mess and hate you scienc
The Emperor Of All Maladies,59 detail the begin and progress in our understand of cancer includ how we first start learn about it began develop way to treat it and discov way to prevent it and the biolog effect that it ha on us scienc
The Double Helix,60 tell the stori of the discoveri of dna which is one of the most signific scientif find in all of histori by explain the rivalri struggl of the pride scientif commun to work togeth and other roadblock that jame watson had on the way to make the breakthrough of a lifetim that would chang hi life and the entir world scienc
The Dark Net,61 dive into the detail of the wildest and most danger part of the digit world includ selfharm cryptocurr programm comput scientist hacker extremist pornograph vigilant and much more scienc
2030,62 use the current trajectori of the world base on sociolog demograph and technolog trend to outlin the chang we can expect to happen in our live by the begin of the next decad scienc
The End Of Illness,63 will chang the way that you think of sick and health by identifi the problem with the current mindset around them and how focus on the system within your bodi instead of diseas will help you make betterinform decis that will keep you on the path of good health scienc
The Grand Design,64 explain the histori of mankind from a scientif perspect includ how we came into exist and start to use scienc to explain the world and ourselv with law like newton and einstein and more recent theori like quantum physic scienc
I Contain Multitudes,65 will make you smarter and healthier by teach you about the tini ecosystem of microb that live insid your bodi and on everyth you see and by show you how they affect your life and how to util them to improv your wellb scienc
The Science Of Storytelling,66 will make you better at persuas write and speak by outlin the psycholog of tell good tale includ whi our brain like them and how to craft the perfect one scienc
Mindful Work,67 is your guid to understand how the practic of medit got it root in western societi the mani way it radic improv your brain abil to do almost everyth and how it will improv your product scienc
Phantoms In The Brain,68 will make you smarter about your own mind by share what scientist have learn from some of the most interest experi of patient with neurolog disord scienc
Survival Of The Friendliest,69 explain whi the 1 thing you can do for success is to focu on your social connect how friendli wa the reason that our earli ancestor surviv as well as they did and what you can do today to grow your social capit scienc
How To Avoid A Climate Disaster,70 is bill gate plea to the individu govern and busi leader of the world to reduc greenhous emiss by chang the way we make thing plug in grow thing get around and keep warm and cool scienc
Breath,71 is a fascin and help guid to understand the scienc of breath includ how do it slowli and through your nose is best for your lung and bodi and the mani proven mental and physic benefit of be more mind of how you inhal and exhal scienc
When The Body Says No,72 will help you becom healthier by teach you the truth behind the mindbodi connect reveal how your mental state doe in fact affect your physic condit and how you can improv both scienc
The Soul Of An Octopus,73 will make you smarter about anim life in the ocean by explain the fascin abil brillianc and person of octopus scienc
Late Bloomers,74 will help you becom more patient with the speed of your progress by identifi the damag influenc of earli achiev cultur and societ pressur and how to be proud of reach your peak later in life scienc
Limitless,75 show you how to unlock the full potenti that your brain ha for memori read learn and much more by show you how to take the brake off of your mental power with tool like mindset visual music and more scienc
Eat To Beat Disease,76 will help you be healthier and fight off infect by identifi how food affect your immun system and what to put into your bodi that will make you more resili against ill scienc
The Hot Zone,77 is richard preston version of a terrifi true stori of how the ebola viru came to be whi it so deadli and contagi and how thi all reveal our massiv vulner and ineffici when it come to fend off pandem of all kind scienc
The Beautiful Cure,78 make you smarter by show you how your immun system work and how recent advanc in our understand of it can help us improv our health like never befor scienc
The Telomere Effect,79 show you how to live healthier and stay younger longer by identifi an import part of your physiolog that you might have never heard of and teach you how to take great care of it scienc
Suggestible You,80 help you understand and util the power of your mindbodi connect by explain the effect that your thought have on your bodi includ pain ill and memori and how to take advantag of it scienc
Energy,81 make you smarter by help you understand where thi import aspect of our live come from how weve use it throughout histori to get to where we are today and whi we need to be care about how we consum it so that we can have a better futur scienc
The Sleep Solution,82 improv your qualiti of life by identifi the myth surround rest that keep you from get more of it show you whi theyr fals and teach you how to establish proper sleep hygien scienc
The Order Of Time,83 expand your mind by shatter your commonli held belief about time identifi how the way societi view it is mere a construct of the mind and it actual characterist are a lot more interest than we all think scienc
Willpower Doesn’t Work,84 show you how to chang your life in a more effici way than reli on sheer grit alon by identifi the import of your environ and other factor that affect your product so you can becom your best self scienc
Food Fix,85 will help you eat healthier and improv the environ at the same time by explain how bad our food is for us and our planet and what we can each do to fix these problem scienc
Blueprint,86 help you have hope for the good of the human race by reveal our biolog wire social tendenc that help us surviv and thrive by work togeth scienc
The Unexpected Joy Of Being Sober,87 will help you have a happier and healthier life by persuas reveal the mani disadvantag of alcohol and the benefit of go without it perman scienc
Descartes’ Error,88 will help you understand whi the argument that the mind and bodi are disconnect is fals by use neurosci and interest case studi to identifi how the bodi and our emot play a vital role in logic think scienc
Personality Isn’t Permanent,89 will shatter your longheld belief that your stuck as yourself flaw and all by identifi whi the person you are is changeabl and give you specif and action step to chang scienc
Deep Nutrition,90 will help you get healthier by explain the danger of modern diet techniqu that are actual do harm to your bodi and make you sick scienc
My Age Of Anxiety,91 is your guid to understand an aspect of mental ill that most of us dont realiz is so sever show it biolog and environment origin and way to treat it scienc
The Body,92 help you becom smarter about how to take care of and use thi mechan that let you have life by explain how it put togeth what happen on the insid and how it work scienc
Boost!,93 is a guid for becom more product at work by use the prepar and perform techniqu that worldclass athlet use to win gold medal scienc
AI Superpowers,94 will help you understand what to expect of the effect that artifici intellig will have on your futur job opportun by dive into where china and the us the world two leader in ai are head with thi breakthrough technolog scienc
Doubt: A History,95 is a fascin look at the histor influenc of doubt on scienc religion and the way we think today scienc
What to Eat When,96 teach us how food work insid our bodi and how to feed ourselv in a way that better suit our biolog make us healthier and stronger scienc
Comfortably Unaware,97 is a wellresearch compendium on how our food choic and anim agricultur impact the wellb of the whole planet scienc
Pandemic,98 give you an understand of what pathogen and diseas are how they evolv what our lifestyl doe to make them wors on us how they can spread like wildfir and most importantli what we can do to stop them scienc
Social,99 explain how our innat drive to build social connect is the primari driver behind our behavior and explor way we can use thi knowledg to our advantag scienc
A Brief History Of Everyone Who Ever Lived,100 give you anoth import perspect on mankind past and present through the len of our gene scienc
Cosmos,101 will make you smarter by teach you the basic of how the univers work includ our own solar system and it histori scienc
The Worry-Free Mind,102 help free you of the shackl of all type of anxieti by identifi where they come from and what step you need to take to regain control of your think pattern and becom mental healthi again scienc
Brief Answers To The Big Questions,103 tackl some of the univers biggest mysteri as hawk explor the law that govern the cosmo and the futur of humankind scienc
Chernobyl,104 teach some fascin and import histori scienc and leadership lesson by dive into the detail of the event lead up to the worst nuclear disast in human histori and it aftermath scienc
Seven Brief Lessons On Physics,105 is your guid to get up to speed with current theori on how the univers work by explain gener rel and quantum mechan the two pillar of modern physic scienc
Brain Rules,106 teach you how to becom more product at work and life by give proven fact about how your mind work better with good sleep exercis and learn with all the sens scienc
Broadcasting Happiness,107 is an encourag resourc that will help you boost your health and happi in your relationship work and commun by show you how to unlock the power of posit word and stori scienc
The Joy Of Movement,108 is just what you need to final find the motiv to get out and exercis more often by teach you the scientif reason whi it good for you and whi your bodi is design to enjoy it scienc
The Immortal Life of Henrietta Lacks,109 make you smarter and more compassion by reveal the previous unknown stori of a woman with extraordinari cell that still live today and have contribut to dozen of medic breakthrough scienc
The Body Keeps The Score,110 teach you how to get through the difficulti that aris from your traumat past by reveal the psycholog behind them and reveal some of the techniqu therapist use to help victim recov scienc
How To Change Your Mind,111 reveal new evid on psychedel confirm their power to cure mental ill eas depress and addict and help peopl die more peac scienc
Maybe You Should Talk To Someone,112 will help you feel more comfort with use therapi to improv your mental health by give a candid look into how therapi realli work from the point of view of an experienc therapist who also found herself need it scienc
A General Theory Of Love,113 will help you reprogram your mind for better emot intellig and relationship by teach you what three psychiatrist have to say about the scienc of whi we experi love and other emot scienc
The Little Book of Lykke,114 give danishderiv and scienceback tip that will help you be happier scienc
Why We Sleep,115 will motiv you get more and better qualiti sleep by show you the recent scientif find on whi sleep depriv is bad for individu and societi scienc
A Universe From Nothing,116 will enlarg your knowledg of our expand univers by show you how it began what were learn about it now and what will happen to it in the futur scienc
A Crack In Creation,117 will teach you all about the power of gene edit that is made possibl with crispr by detail how it work the benefit and opportun it open up and the ethic risk of use it on human scienc
How To,118 will help you get better at abstract think as it give solut to some of the strangest problem in the wackiest but still scientif way scienc
A Mind For Numbers,119 will teach you how to learn math and scienc more effici and get good at them by understand how your brain absorb and process inform even if these subject dont come natur to you scienc
A Beautiful Mind,120 tell the fascin stori of the mathemat geniu mental ill and miracul recoveri and success of john nash jr scienc
Feral,121 will help you find way to improv the wellb of human by illustr the deep connect between us and natur and offer action advic on how to preserv balanc in our ecosystem through rewild scienc
Sleep Smarter,122 is a collect of 21 simpl tip and trick to optim your sleep environ onc and then reap the benefit of more rest night forev scienc
What If,123 is a compil of wellresearch sciencebas answer to some of the craziest hypothet question you can imagin scienc
Exploring The World Of Lucid Dreaming,124 is a practic guid to dream conscious which uncov an invalu channel of commun between your consciou and unconsci mind scienc
The Sports Gene,125 is a look at how gene affect our abil motiv and endur in sport explain whi some peopl are better suit for certain sport than other scienc
The Brain That Changes Itself,126 explor the groundbreak research in neuroplast and share fascin stori of peopl who can use the brain abil to adapt and be cure of ailment previous incur scienc
Psycho-Cybernetics,127 explain how think of the human mind as a machin can help improv your selfimag which will dramat increas your success and happi scienc
Altered Traits,128 explor the scienc behind medit techniqu and the way they benefit and alter our mind and bodi scienc
Merchants of Doubt,129 explain how a small but loud group of research were abl to mislead the public about the truth around global warm tobacco ddt and other import issu for decad scienc
How Not To Die,130 deliv a templat for extend your life base on scientif research which recommend switch to a mainli plantbas diet scienc
Behave,131 set out to explain the reason behind human behavior good or bad by explor the influenc of brain chemistri and our environ scienc
Brainstorm,132 is a fascin look into the teenag brain that explain whi adolesc act so hormon and recklessli scienc
On The Origin Of Species,133 is the foundat book for modern evolutionari biolog that mark a turn point in how we think about the begin of humankind scienc
How Emotions Are Made,134 explor the often misconstru world of human feel and the cuttingedg scienc behind how theyr form scienc
Against Empathy,135 explain the problem with societi obsess with empathi and explor it limit while give us use altern for situat in which it doesnt work scienc
The Biology of Belief,136 is an overview of the recent find in cellular biolog which are redefin the way we look at evolut genet and the natur of life scienc
The Hidden Life of Trees,137 describ how tree can commun support each other learn from experi and form allianc with other inhabit of the forest scienc
Silent Spring,138 is the stori that spark the global grassroot environment movement in 1962 explain how chemic pesticid work what their drawback are and how we can protect crop in better more sustain way scienc
Aware,139 is a comprehens overview of the farreach benefit of medit root in both scienc and practic enrich with action advic on how to practic mind scienc
Lost Connections,140 explain whi depress affect so mani peopl and that improv our relationship not take medic is the way to beat our mental health problem scienc
The Age of Empathy,141 explain that empathi come natur to human as it doe to most other anim and that were not wire to be selfish and violent but kind and cooper scienc
Counterclockwise,142 is a critic look at current perspect on health with a particular focu on how we can improv our own when we shift from be mindless to mind scienc
The Yes Brain,143 offer parent techniqu that will give your kid an open attitud toward life balanc resili insight and empathi scienc
Born To Run,144 explain the natur benefit of longdist run and how you can becom a better runner too base on sever year of research experi and train scienc
The Tao of Physics,145 question mani bias about western scienc and eastern spiritu show the close connect between the principl of physic and those of buddhism hinduism and taoism scienc
Rest,146 examin whi tradit method of work too long and hard are ineffici compar to work less rest and play to accomplish your best work scienc
The Blue Zones Solution,147 show you how to adopt the lifestyl and mindset practic of the healthiest longestliv peopl on the planet from the five locat with the highest popul of centenarian scienc
"Write It Down, Make It Happen",148 is a simpl guid to help you accomplish your goal through the act of write show you how to use thi basic skill to focu address fear and stay motiv scienc
Atomic Habits,149 is the definit guid to break bad behavior and adopt good one in four step show you how small increment everyday routin compound into massiv posit chang over time scienc
Homo Deus,150 illustr the histori of the human race from how we came to be the domin speci over what narr are shape our live today all the way to which obstacl we must overcom next to continu to thrive scienc
The Chimp Paradox,151 use a simpl analog to help you take control of your emot and act in your own best interest whether it in make decis commun with other or your health and happi scienc
Factfulness,152 explain how our worldview ha been distort with the rise of new media which ten human instinct caus erron think and how we can learn to separ fact from fiction when form our opinion scienc
Problem Solving 101,153 is a univers fourstep templat for overcom challeng in life base on a tradit method japanes school children learn earli on scienc
Skin In The Game,154 is an assess of asymmetri in human interact aim at help you understand where and how gap in uncertainti risk knowledg and fair emerg and how to close them scienc
When: The Scientific Secrets of Perfect Timing,155 break down the scienc of time so you can stop guess when to do thing and pick the best time to work eat sleep have your coffe and even quit your job scienc
Leonardo Da Vinci,156 is walter isaacson account of the life of one of the most brilliant artist thinker and innov who ever live scienc
Barking Up The Wrong Tree,157 turn standard success advic on it head by look at both side of mani common argument like confid extrovers or be nice conclud it realli other factor that decid if we win and we control more of them than we think scienc
Emotional Agility,158 provid a new scienceback approach to navig life mani trial and detour on your path to fulfil with which youll face your emot head on observ them object make choic base on your valu and slowli tweak your mindset motiv and habit scienc
The Road Less Traveled,159 is a spiritu classic combin scientif and religi view to help you grow by confront and solv your problem through disciplin love and grace scienc
The Myth Of Multitasking,160 explain whi do everyth at onc is neither effici nor even possibl and give you practic step for more focu in the workplac scienc
Long-Term Thinking For A Short-Sighted World,161 explain whi we rare think about the longterm consequ of our action how thi put our entir speci in danger and what we can do to chang and ensur a thrive futur for mankind scienc
Genius: The Life And Science Of Richard Feynman,162 tell the stori of one the greatest mind in the histori of scienc all the way from hi humbl begin to chang physic as we know it and receiv the nobel prize scienc
Payoff,163 unravel the complex construct that is human motiv and show you how it consist of mani more part than money and recognit such as mean effort and ownership so you can motiv yourself not just today but everi day scienc
Peak,164 accumul everyth the pioneer research on deliber practic ha learn about expert perform through decad of explor and analysi of what separ those who are averag from those who are worldclass at what they do scienc
The Habit Blueprint,165 strip down behavior chang to it veri core give you the ultim researchback recip for cultiv the habit you desir with plenti of backup step you can take to maxim your chanc of success scienc
Decisive,166 give you a scientif 4step approach to make better decis in your life and career base on an extens studi of the avail literatur and research on the topic scienc
A Short History Of Nearly Everything,167 explain everyth weve learn about our world and the univers so far includ how they form how we learn to make sens of time space and graviti whi it such a miracl that were aliv and how much of our planet is still a complet mysteri to us scienc
The Art Of Choosing,168 extens cover the scientif research made about human decis make show you what affect how you make choic how the consequ of those choic affect you as well as how you can adapt to these circumst to make better decis in the futur scienc
Forensics: The Anatomy Of Crime,169 give you an insid look at all the differ field of crimin forens and their histori show you how the investig and evidencecollect of crime ha chang dramat within the last 200 year help us find the truth behind more and more crime scienc
The Magic Of Reality,170 explain mani of the world natur phenomenon in a scientif way so that you can understand how the elementari compon of our planet work togeth to logic yet beauti creat the place we all call home scienc
The End Of Average,171 explain the fundament flaw with our cultur of averag in which we design everyth for the averag person when that person doesnt exist and show how we can embrac our individu and use it to succeed in a world that want everyon to be the same scienc
How Not To Be Wrong,172 show you that math is realli just the scienc of common sens and that studi a few key mathemat idea can help you assess risk better make the right decis navig the world effortlessli and be wrong a lot less scienc
Grit,173 describ what creat outstand achiev base on scienc interview with high achiev from variou field and the person histori of success of the author angela duckworth uncov that achiev isnt reserv for the talent onli but for those with passion and persever scienc
Made To Stick,174 examin advertis campaign urban myth and compel stori to determin the six trait that make idea stick in our brain so you dont just know whi you rememb some thing better than other but can also spread your own idea more easili among the right peopl scienc
The Botany Of Desire,175 describ how contrari to popular belief we might not be use plant as much as plant use us by get human to ensur their surviv thank to appeal to our desir for beauti sweet intox and control scienc
The Magic of Math,176 show you not onli the power but also the beauti of mathemat unlik youv ever seen it in school and with practic realworld applic scienc
The Genius Of Birds,177 shine a new light on a genuin underr kind of vertebr by explain bird capac to be social intellig solv challeng learn languag be artist and navig the planet scienc
The Evolution Of Everything,178 compar creationist to evolutionist think show how the process of evolut we know from biolog underli and permeat the entir world includ societi moral religion cultur econom money innov and even the internet scienc
The Singularity Is Near,179 outlin the futur of technolog by describ how chang keep acceler what comput will look like and be made of whi biolog and technolog will becom indistinguish and how we cant possibl predict whatll happen after 2045 scienc
The Selfish Gene,180 explain the process of evolut in biolog use gene as it basic unit show how they manifest in the form of organ what they do to ensur their own surviv how they program our brain which strategi have work best throughout histori and what make human so special in thi context scienc
Elon Musk,181 is the first offici biographi of the creator of solarc spacex and tesla base on over 30 hour of convers time between author ashle vanc scienc
Einstein: His Life And Universe,182 take a close look at the life of albert einstein begin in how hi childhood shape him what hi biggest discoveri and person struggl were and how hi focu chang in later year without hi geniu ever fade until hi veri last moment scienc
Smarter,183 is one slow learner turn a student experiment account of improv hi intellig by 16 through variou test lesson and exercis and explain how you can increas your intellig in scientif proven way scienc
Hackers and Painters,184 is a collect of essay by y combin founder paul graham about what make a good comput programm and how you can code the futur if you are one make a fortun in the process scienc
Everything Is Obvious,185 show you that common sens isnt as reliabl as you think it is becaus it often fail us in help to make predict and how you can chang the way you or your compani make decis with more scientif statist ground method scienc
Oxygen,186 help you understand the biolog of our evolut by take a close look at the molecul that can make and break all life and how it shape the rise of anim plant and human as well as whi it might be the key to end age scienc
Predictably Irrational,187 explain the hidden forc that realli drive how we make decis which are far less ration than we think but can help us stay on top of our financ interact better with other and live happier live onc we know about them scienc
The Talent Code,188 crack open the myth of talent and break it down from a neurolog standpoint into three crucial part which anyon can pull togeth to becom a worldclass perform artist or athlet and form someth they use to believ wa not even within their own hand scienc
Abundance,189 show you the key technolog trend be develop today to give you a glimps of a futur that a lot brighter than you think and help you embrac the optim we need to make it happen scienc
Why We Love,190 deliv a scientif explan for love show you how it develop histor and evolutionarili tell you what were all attract to and where we differ and of cours give you action advic to deal with both the excit success romanc in your life as well as it sometim inevit fallout scienc
Freakonomics,191 help you make better decis by show you how your life is domin by incent how to close inform asymmetri between you and the expert that exploit you and how to realli tell the differ between causat and correl scienc
The Blue Zones,192 give you advic on how to live to be 100 year and older by look at five spot across the planet where peopl live the longest and draw lesson about what they eat drink how they exercis and which habit most shape their live scienc
The China Study,193 examin the effect of anim protein intak on cancer risk and suggest improv your health by focus on a plantbas diet scienc
Drive,194 explor what ha motiv human throughout histori and explain how we shift from mere surviv to the carrot and stick approach that still practic today and whi it outdat scienc
The Happiness Project,195 will show you how to chang your life without actual chang your life thank to the find of modern scienc ancient histori and popular cultur about happi which the author test for a year and now share with you scienc
Immunity,196 is an introductori guid to how your immun system work whi it a doubleedg sword and which law govern it exist scienc
Outliers,197 explain whi the selfmad man is a myth and what truli lie behind the success of the best peopl in their field which is often a seri of lucki event rare opportun and other extern factor which are out of our control scienc
Your Brain At Work,198 help you overcom the daili challeng that take away your brain power like constant email and interrupt mad high level of stress lack of control and high expect by show you what goe on insid your head and give you new approach to control it better scienc
Willpower,199 is a blend of practic tip and the latest scientif research on selfcontrol explain how willpow work what you can do to improv it how to optim it and which step to take when it fail you scienc
Talent Is Overrated,200 debunk both talent and experi as the determin factor and instead make a case for deliber practic intrins motiv and start earli scienc
The Power Of Habit,201 help you understand whi habit are at the core of everyth you do how you can chang them and what impact that will have on your life your busi and societi scienc
Bounce,202 show you that train trump talent everi time by explain the scienc of deliber practic the mindset of high perform and how you can use those tool to becom a master of whichev skill you choos scienc
Salt Sugar Fat,203 take you through the histori of the demis of homecook meal by explain whi you love salt sugar and fat so much and how the process food industri manag to hook us by cram all 3 of those into their product scienc
Sex at Dawn,204 challeng convent view on sex by dive deep into our ancestor sexual histori and the rise of monogami thu prompt us to rethink our understand of what sex and relationship should realli feel and be like scienc
A Brief History Of Time,205 is stephen hawk way of explain the most complex concept and idea of physic such as space time black hole planet star and graviti to the averag joe so that even you and i can better understand how our planet wa creat where it came from and where it go scienc
Stumbling On Happiness,206 examin the capac of our brain to fill in gap and simul experi show how our lack of awar of these power sometim lead us to wrong decis and how we can chang our behavior to synthes our own happi scienc
Moonwalking With Einstein,207 not onli educ you about the histori of memori and how it stand ha declin over centuri but also give you action techniqu to extend and improv your own scienc
Why Is Sex Fun,208 take a humor look at the evolut of human sex life explain whi the way we behav sexual is often odd but necessari for our surviv scienc
